"LABID","PT","Penicillin","Amoxicillin","Meropenem","Cefotaxime","Ceftriaxone","Cefuroxime"
"2013218190","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"2010225288","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"2013211370","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20152911","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"2014201761","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"20153003","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"20153191","0-1-1",0.25,0.12,0.06,0.12,0.5,0.5
"2014201852","0-1-1",0.12,0.06,0.06,0.06,0.5,0.5
"2010200794","0-1-1",0.12,0.03,0.06,0.06,0.5,0.5
"2011212060","0-1-1",0.12,0.06,0.06,0.12,0.5,0.5
"20152157","0-1-1",0.25,0.12,0.06,0.12,0.5,0.5
"20151642","0-1-1",0.25,0.12,0.06,0.12,0.5,0.5
"2013208592","0-1-1",0.25,0.12,0.06,0.12,0.5,0.5
"2013202648","0-1-1",0.12,0.06,0.06,0.06,0.5,0.5
"8043-06","0-1-1",0.25,0.03,0.06,0.12,0.5,0.5
"20153429","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"2012218141","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"2009208544","0-1-1",0.06,0.03,0.06,0.06,0.5,0.5
"2009218244","0-1-1",0.25,0.03,0.06,0.06,0.5,0.5
"20153473","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20152251","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20152723","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"2010208312","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"20152277","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20152666","0-1-1",0.25,0.12,0.06,0.12,0.5,0.5
"20154346","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"2013221999","0-1-1",0.25,0.12,0.06,0.12,0.5,0.5
"2010210038","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20153528","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"2012214921","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20153128","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20152904","0-1-1",0.25,0.12,0.06,0.12,0.5,0.5
